creation, empty_51, empty, java.awt.Point[x=8,y=5], NORTH
creation, empty_52, empty, java.awt.Point[x=9,y=5], NORTH
creation, empty_53, empty, java.awt.Point[x=10,y=5], NORTH
creation, big_fish_53, big_fish, java.awt.Point[x=11,y=5], NORTH
creation, empty_54, empty, java.awt.Point[x=12,y=5], NORTH
creation, empty_55, empty, java.awt.Point[x=13,y=5], NORTH
creation, empty_56, empty, java.awt.Point[x=14,y=5], NORTH
creation, small_fish_56, small fish, java.awt.Point[x=15,y=5], NORTH
creation, empty_57, empty, java.awt.Point[x=16,y=5], NORTH
creation, wall_37, wall, java.awt.Point[x=17,y=5], NORTH
creation, wall_38, wall, java.awt.Point[x=0,y=6], NORTH
creation, small_fish_57, small fish, java.awt.Point[x=1,y=6], NORTH
creation, empty_58, empty, java.awt.Point[x=2,y=6], NORTH
creation, empty_59, empty, java.awt.Point[x=3,y=6], NORTH
creation, small_fish_59, small fish, java.awt.Point[x=4,y=6], NORTH
creation, empty_60, empty, java.awt.Point[x=5,y=6], NORTH
creation, empty_61, empty, java.awt.Point[x=6,y=6], NORTH
creation, big_fish_61, big_fish, java.awt.Point[x=7,y=6], NORTH
creation, small_fish_61, small fish, java.awt.Point[x=8,y=6], NORTH
creation, empty_62, empty, java.awt.Point[x=9,y=6], NORTH
creation, small_fish_62, small fish, java.awt.Point[x=10,y=6], NORTH
creation, empty_63, empty, java.awt.Point[x=11,y=6], NORTH
creation, empty_64, empty, java.awt.Point[x=12,y=6], NORTH
creation, empty_65, empty, java.awt.Point[x=13,y=6], NORTH
creation, robot_1, robot, java.awt.Point[x=14,y=6], WEST
creation, empty_66, empty, java.awt.Point[x=15,y=6], NORTH
creation, empty_67, empty, java.awt.Point[x=16,y=6], NORTH
creation, wall_39, wall, java.awt.Point[x=17,y=6], NORTH
creation, wall_40, wall, java.awt.Point[x=0,y=7], NORTH
creation, empty_68, empty, java.awt.Point[x=1,y=7], NORTH
creation, empty_69, empty, java.awt.Point[x=2,y=7], NORTH
creation, small_fish_69, small fish, java.awt.Point[x=3,y=7], NORTH
creation, empty_70, empty, java.awt.Point[x=4,y=7], NORTH
creation, small_fish_70, small fish, java.awt.Point[x=5,y=7], NORTH
creation, empty_71, empty, java.awt.Point[x=6,y=7], NORTH
creation, empty_72, empty, java.awt.Point[x=7,y=7], NORTH
creation, wall_41, wall, java.awt.Point[x=8,y=7], NORTH
creation, empty_73, empty, java.awt.Point[x=9,y=7], NORTH
creation, empty_74, empty, java.awt.Point[x=10,y=7], NORTH
creation, big_fish_74, big_fish, java.awt.Point[x=11,y=7], NORTH
creation, empty_75, empty, java.awt.Point[x=12,y=7], NORTH
creation, wall_42, wall, java.awt.Point[x=13,y=7], NORTH
creation, empty_76, empty, java.awt.Point[x=14,y=7], NORTH
creation, empty_77, empty, java.awt.Point[x=15,y=7], NORTH
creation, empty_78, empty, java.awt.Point[x=16,y=7], NORTH
creation, wall_43, wall, java.awt.Point[x=17,y=7], NORTH
creation, wall_44, wall, java.awt.Point[x=0,y=8], NORTH
creation, empty_79, empty, java.awt.Point[x=1,y=8], NORTH
creation, empty_80, empty, java.awt.Point[x=2,y=8], NORTH
creation, empty_81, empty, java.awt.Point[x=3,y=8], NORTH
creation, empty_82, empty, java.awt.Point[x=4,y=8], NORTH
creation, big_fish_82, big_fish, java.awt.Point[x=5,y=8], NORTH
creation, wall_45, wall, java.awt.Point[x=6,y=8], NORTH
creation, wall_46, wall, java.awt.Point[x=7,y=8], NORTH
creation, empty_83, empty, java.awt.Point[x=8,y=8], NORTH
creation, empty_84, empty, java.awt.Point[x=9,y=8], NORTH
creation, empty_85, empty, java.awt.Point[x=10,y=8], NORTH
creation, empty_86, empty, java.awt.Point[x=11,y=8], NORTH
